tema|dificultad|enunciado|alternativa1|alternativa2|alternativa3|alternativa4|alternativa5|claveCorrecta|explicacion|origen
Actitud|DIFICIL|El denominado 'efecto adormecido' (sleeper effect) en la psicología de la persuasión y cambio de actitud explica un fenómeno en el cual un mensaje persuasivo proveniente de una fuente de baja credibilidad:|Genera un rechazo inmediato e irreversible que dura indefectiblemente en el tiempo|Incrementa su impacto persuasivo con el transcurso del tiempo al disociarse el mensaje de la fuente|Cambia instantáneamente la actitud del sujeto debido a la reactancia psicológica|Pierde toda eficacia persuasiva en cuanto el sujeto olvida el tema|Solo funciona si el sujeto se encuentra procesando por la ruta periférica permanentemente|1|El 'sleeper effect' ocurre cuando el impacto persuasivo de un mensaje emitido por una fuente poco confiable aumenta gradualmente con el tiempo porque la memoria del contenido del mensaje se disocia de la fuente descalificada.|IA_APROBADA
Actitud|DIFICIL|Un empleado adopta deliberadamente la misma postura política que su empleador directo con el propósito explícito de evitar conflictos en la oficina y asegurar una promoción salarial. En la teoría funcionalista de Katz, esto evidencia la función:|Ego-defensiva|De conocimiento|Utilitaria o adaptativa|Expresiva de valores|De autorregulación emocional|2|La función utilitaria, instrumental o adaptativa de las actitudes busca maximizar las recompensas o beneficios del entorno social y minimizar los castigos o consecuencias negativas.|IA_APROBADA
Actitud|DIFICIL|El experimento histórico de Richard LaPiere (1934) en el que acompañó a un matrimonio chino por restaurantes y hoteles de EE. UU. demostró principalmente que:|Las actitudes verbales expresadas en cuestionarios no siempre se reflejan en la conducta real manifestada.|Los prejuicios raciales determinan de forma infalible la conducta comercial de los establecimientos.|Las actitudes implícitas coinciden plenamente con los reportes explícitos de tolerancia.|La disonancia cognitiva imposibilita cualquier tipo de discriminación sutil.|El componente afectivo anula totalmente la intención conductual en situaciones sociales de presión.|0|LaPiere evidenció una baja correspondencia entre la actitud declarada por escrito (la mayoría rechazaba atender chinos) y la conducta real observada (casi todos los atendieron amablemente).|IA_APROBADA
Actitud|DIFICIL|En la Teoría de la Conducta Planificada (Ajzen), la variable que se añade a la Teoría de la Acción Razonada para explicar la intención conductual cuando el sujeto no tiene control absoluto es:|La norma subjetiva|El control conductual percibido|El sesgo de deseabilidad social|La reactancia intencional|El afecto incidental|1|Icek Ajzen incorporó el 'control conductual percibido', referente a la percepción que tiene la persona sobre la facilidad o dificultad para llevar a cabo la conducta concreta.|IA_APROBADA
Actitud|DIFICIL|La teoría de la inoculación de William McGuire propone que para hacer resistente una actitud frente a futuros ataques persuasivos se debe:|Aislar al sujeto de todo punto de vista contradictorio.|Exponer previamente al individuo a argumentos contrarios débiles junto con sus respectivas refutaciones.|Reforzar con incentivos monetarios la actitud original del individuo.|Generar un estado extremo de disonancia cognitiva mediante confrontación directa.|Utilizar únicamente estímulos emocionales subliminales.|1|Inspirada en el funcionamiento inmunológico, la inoculación actitudinal estimula la defensa cognitiva previa exponiendo argumentos débiles contra la actitud para que el sujeto aprenda a refutarlos.|IA_APROBADA
Actitud|DIFICIL|Las actitudes implícitas se diferencian de las explícitas principalmente porque las primeras se caracterizan por ser:|Conscientes, deliberadas y medidas mediante autoinformes directos.|Evaluaciones automáticas, involuntarias y a menudo no alcanzables por la introspección.|Inflexibles al condicionamiento y totalmente independientes de las experiencias previas.|Basadas exclusivamente en el componente de norma subjetiva.|Expresadas de manera abierta únicamente en debates formales.|1|Las actitudes implícitas se activan de forma automática e inconsciente ante la presencia del objeto actitudinal y se miden mediante métodos indirectos como el IAT.|IA_APROBADA
Actitud|DIFICIL|Cuando un individuo sostiene simultáneamente creencias o sentimientos muy positivos y muy negativos hacia un mismo objeto (ambivalencia actitudinal), se observa con frecuencia que:|Muestra un procesamiento de información más profundo y sistemático ante mensajes relacionados.|Su conducta se vuelve totalmente predecible en cualquier contexto situacional.|Su actitud se vuelve inmune al cambio por persuasión.|Desaparece por completo el componente afectivo de la actitud.|Adquiere un rasgo de personalidad patológico e irreversible.|0|La ambivalencia actitudinal crea una sensación de incertidumbre o malestar que motiva a la persona a procesar más minuciosamente la información para resolver su inconsistencia.|IA_APROBADA
Actitud|DIFICIL|Si una campaña persuasiva es percibida por los receptores como una amenaza flagrante a su libertad personal de decisión, suele producirse una reaccion contraria llamada:|Inoculación actitudinal|Reactancia psicológica|Disonancia postdecisional|Facilitación social|Asimilación normativa|1|La reactancia psicológica (Brehm) es un estado motivacional que se activa cuando el sujeto siente amenazada su autonomía, llevándolo a adoptar o reforzar la postura opuesta a la impuesta.|IA_APROBADA
Actitud|DIFICIL|Luego de elegir entre dos alternativas académicas igualmente atractivas, un postulante comienza a enfatizar las virtudes de la opción elegida y a devaluar la opción descartada. Este fenómeno ilustra:|El efecto de contagio social.|La reducción de la disonancia postdecisional.|La influencia de la norma subjetiva.|La ruta periférica de la persuasion.|La reactancia ante la presión externa.|1|Tomar una decisión entre opciones deseables genera disonancia postdecisional. Para reducirla, el sujeto busca reducir la inconsistencia aumentando el atractivo de la alternativa elegida y rechazando la no elegida.|IA_APROBADA
Aritmética|FACIL|Convierta el número 123 en base 5 al sistema decimal (base 10).|33|38|43|28|48|1|Al descomponer polinómicamente el número 123 en base 5 se obtiene: 1 × 5² + 2 × 5¹ + 3 × 5⁰ = 25 + 10 + 3 = 38.|IA_APROBADA
Aritmética|FACIL|Si el conjunto A está definido por A = {x ∈ N / 2 < x ≤ 6}, determine la cantidad de elementos de su conjunto potencia.|8|16|32|64|12|1|Los elementos del conjunto A son {3, 4, 5, 6}, por lo que n(A) = 4. La cantidad de elementos de su conjunto potencia es 2^4 = 16.|IA_APROBADA
Aritmética|FACIL|Si el número de cuatro cifras 4a3b es divisible por 9 y se sabe que b = 5, halle el valor de a.|4|5|6|7|8|2|Un número es divisible por 9 si la suma de sus cifras es múltiplo de 9. Sumando: 4 + a + 3 + 5 = 12 + a. Para que 12 + a sea múltiplo de 9, a debe ser igual a 6.|IA_APROBADA
Aritmética|FACIL|La razón geométrica de dos números es 3/5 y su suma es 64. Halle el valor del número mayor.|24|32|40|48|36|2|Sean los números 3k y 5k. Como la suma es 64, tenemos 3k + 5k = 64, de donde 8k = 64 y k = 8. El número mayor es 5k = 5(8) = 40.|IA_APROBADA
Aritmética|FACIL|¿A qué descuento único equivalen dos descuentos sucesivos del 20% y del 30%?|50%|44%|46%|40%|54%|1|El descuento único DU se calcula con la fórmula DU = [D1 + D2 - (D1 × D2)/100]%. Reemplazando: DU = [20 + 30 - (20 × 30)/100]% = [50 - 6]% = 44%.|IA_APROBADA
Aritmética|FACIL|Si el numeral 134 expresado en base 6 se convierte al sistema decimal, ¿cuál es la suma de sus cifras en dicho sistema?|10|11|12|13|14|3|Descomponiendo polinómicamente: 1(6^2) + 3(6) + 4 = 36 + 18 + 4 = 58 en base 10. La suma de sus cifras es 5 + 8 = 13.|IA_APROBADA
Aritmética|FACIL|Si 'a' representa una cifra no nula y el numeral 3a42a es divisible por 9, calcule el valor de 'a'.|3|5|7|8|9|4|Por el criterio de divisibilidad del 9, la suma de cifras debe ser múltiplo de 9: 3 + a + 4 + 2 + a = 9 + 2a. Para que 9 + 2a sea múltiplo de 9 con 'a' no nulo, 2a debe ser 18, de donde a = 9.|IA_APROBADA
Aritmética|FACIL|Determine la cantidad total de divisores enteros positivos del número 360.|18|20|24|28|30|2|La descomposición canónica de 360 es 2^3 × 3^2 × 5^1. La cantidad de divisores es (3 + 1)(2 + 1)(1 + 1) = 4 × 3 × 2 = 24.|IA_APROBADA
Aritmética|FACIL|El producto del MCM y el MCD de dos números enteros positivos es 480. Si uno de los números es 16, determine el valor del otro número.|20|24|30|32|36|2|Por propiedad para dos números A y B: MCM(A, B) × MCD(A, B) = A × B. Reemplazando se tiene 480 = 16 × B, de lo cual B = 30.|IA_APROBADA
Aritmética|FACIL|En una proporción geométrica discreta, los términos medios son 6 y 20. Si el primer término es 8, calcule el cuarto término.|10|12|15|18|24|2|En toda proporción geométrica a/b = c/d, el producto de extremos equivale al producto de medios (a × d = b × c). Por lo tanto, 8 × d = 6 × 20 = 120, de donde d = 15.|IA_APROBADA
Aritmética|FACIL|Un artículo que cuesta S/ 500 sufre dos descuentos sucesivos del 20% y del 10%. ¿A qué porcentaje único de descuento equivale dicha rebaja?|25%|28%|30%|32%|35%|1|El precio final pagado es el 80% del 90% del precio inicial: 0.80 × 0.90 = 0.72 = 72%. Por lo tanto, el descuento único equivale al 100% - 72% = 28%.|IA_APROBADA
Aritmética|FACIL|Dados los conjuntos A = {2x ∣ x ∈ ℕ, 1 ≤ x ≤ 5} y B = {x + 1 ∣ x ∈ ℕ, 2 ≤ x ≤ 6}. Determine el cardinal de la intersección del conjunto A con el conjunto B.|1|2|3|4|5|1|El conjunto A es {2, 4, 6, 8, 10} y el conjunto B es {3, 4, 5, 6, 7}. La intersección A ∩ B consta de los elementos comunes {4, 6}. Por tanto, n(A ∩ B) = 2.|IA_APROBADA
Aritmética|MEDIA|Determine la cantidad de divisores compuestos que posee el número 360.|18|19|20|22|24|2|La descomposición canónica de 360 es 2³ × 3² × 5¹. El total de divisores es (3+1)(2+1)(1+1) = 24. Sus divisores primos son 3 (el 2, 3 y 5) y tiene 1 divisor simple adicional (el 1). Por lo tanto, divisores compuestos = 24 - 3 - 1 = 20.|IA_APROBADA
Aritmética|MEDIA|El Máximo Común Divisor (MCD) de dos números enteros positivos es 12 y su Mínimo Común Múltiplo (MCM) es 180. Si uno de los números es 36, determine el otro número.|45|54|60|72|90|2|Por propiedad, el producto de dos números es igual al producto de su MCD por su MCM: A × B = MCD × MCM. Reemplazando: 36 × B = 12 × 180, de donde B = 60.|IA_APROBADA
Aritmética|MEDIA|El promedio aritmético de 10 números es 15. Si se retiran dos números cuyo promedio es 11, determine el promedio de los 8 números restantes.|16|17|18|15.5|16.5|0|La suma total de los 10 números es 10 × 15 = 150. La suma de los dos números retirados es 2 × 11 = 22. La suma restante es 150 - 22 = 128. El nuevo promedio es 128 / 8 = 16.|IA_APROBADA
Aritmética|MEDIA|Se mezclan 20 litros de vino de 15 soles el litro con 30 litros de otro vino de 20 soles el litro. ¿Cuál es el precio medio por litro de la mezcla resultante?|16 soles|17 soles|18 soles|17.5 soles|18.5 soles|2|El precio medio Pm = (20 × 15 + 30 × 20) / (20 + 30) = (300 + 600) / 50 = 900 / 50 = 18 soles.|IA_APROBADA
Aritmética|MEDIA|Un grupo de 6 obreros construyen una obra en 10 días trabajando 8 horas diarias. ¿Cuántos días tardarán 8 obreros en realizar la misma obra trabajando 6 horas diarias?|8 días|10 días|12 días|14 días|15 días|1|Mediante la relación de proporcionalidad: Obreros × Días × Horas = constante. Así: 6 × 10 × 8 = 8 × D × 6, lo que simplifica a 480 = 48D, obteniéndose D = 10 días.|IA_APROBADA
Aritmética|MEDIA|Si 12 obreros construyen una pared de 60 metros de largo en 8 días, ¿cuántos días emplearán 16 obreros con la misma eficiencia para construir una pared similar de 90 metros de largo?|6 días|7 días|8 días|9 días|10 días|3|Usando la relación de proporción: (Obreros × Días) / Metros = constante. Se plantea (12 × 8) / 60 = (16 × D) / 90. Simplificando: 96 / 60 = 16D / 90 => 1.6 × 90 = 16D => 144 = 16D => D = 9 días.|IA_APROBADA
Aritmética|MEDIA|La magnitud A es directamente proporcional a B e inversamente proporcional al cuadrado de C. Si cuando A = 18 se tiene B = 8 y C = 2, calcule el valor de A cuando B = 12 y C = 3.|8|10|12|14|16|2|La constante de proporcionalidad es (A × C^2) / B = k. Primero calculamos k = (18 × 2^2) / 8 = (18 × 4) / 8 = 9. Luego, para B = 12 y C = 3: (A × 3^2) / 12 = 9 => 9A / 12 = 9 => A = 12.|IA_APROBADA
Aritmética|MEDIA|Se mezclan 20 litros de vino de S/ 15 el litro con 30 litros de vino de S/ 25 el litro. ¿Cuál es el precio medio por litro de la mezcla resultante?|S/ 19|S/ 20|S/ 21|S/ 22|S/ 23|2|El precio medio es el costo total dividido entre el volumen total: Pm = (20 × 15 + 30 × 25) / (20 + 30) = (300 + 750) / 50 = 1050 / 50 = S/ 21 el litro.|IA_APROBADA
Aritmética|MEDIA|¿Durante cuántos meses se debe imponer un capital a una tasa de interés simple del 5% trimestral para que el monto final sea el triple del capital inicial?|60 meses|80 meses|100 meses|120 meses|140 meses|3|Para que el monto sea 3C, el interés I debe ser 2C. Con la tasa trimestral de 5% (0.05 per trimestre), se tiene 2C = C × 0.05 × t_trimestres, de lo que t_trimestres = 40. Convertido a meses: 40 × 3 = 120 meses.|IA_APROBADA
Aritmética|MEDIA|El promedio aritmético de 40 números es 25. Si se eliminan 10 números cuyo promedio es 10, ¿cuál es el promedio aritmético de los números que quedan?|26|28|30|32|34|2|Suma total inicial = 40 × 25 = 1000. Suma de los 10 números eliminados = 10 × 10 = 100. Suma de los 30 números restantes = 1000 - 100 = 900. Nuevo promedio = 900 / 30 = 30.|IA_APROBADA
Aritmética|MEDIA|A una reunión asisten 8 personas. Si al saludarse cada una da la mano a todas las demás exactamente una vez, ¿cuántos estrechamientos de mano se efectúan en total?|21|24|28|32|56|2|Cada saludo es una combinación de 8 personas tomadas de 2 en 2: C(8,2) = (8 × 7) / (2 × 1) = 28 saludos en total.|IA_APROBADA
Aritmética|MEDIA|Calcule la suma de los términos de la fracción irreducible equivalente al número decimal periódico puro 0.272727...|12|14|16|18|22|1|La fracción generatriz es 27/99. Simplificando sacando novena a numerador y denominador resulta la fracción irreducible 3/11. La suma de sus términos (numerador y denominador) es 3 + 11 = 14.|IA_APROBADA
Aritmética|DIFICIL|Un capital se deposita a una tasa de interés compuesto del 10% anual capitalizable anualmente. ¿En cuántos años enteros como mínimo se habrá duplicado dicho capital? (Considere log10(2) ≈ 0.3010 y log10(1.1) ≈ 0.0414).|5|6|7|8|10|3|Se requiere que (1.1)^t ≥ 2. Tomando logaritmo en base 10: t × log(1.1) ≥ log(2) => t ≥ 0.3010 / 0.0414 ≈ 7.27. El menor entero de años necesario para asegurar que se haya duplicado es 8 años.|IA_APROBADA
Aritmética|DIFICIL|Dada la fracción irreductible a/b que genera el número decimal periódico puro 0.272727... (de período 27), halle el valor de a + b.|11|12|14|16|18|2|La fracción generatriz es 27/99. Simplificando novena en numerador y denominador se obtiene la fracción irreductible 3/11. Por lo tanto, a = 3 y b = 11, dando a + b = 14.|IA_APROBADA
Aritmética|DIFICIL|En una urna hay 5 bolas rojas y 4 bolas azules. Si se extraen al azar y simultáneamente 3 bolas, determine la probabilidad de obtener exactamente 2 bolas rojas y 1 bola azul.|5/21|10/21|20/21|15/42|25/84|1|El total de casos posibles es C(9, 3) = 84. Los casos favorables son elegir 2 rojas de 5 y 1 azul de 4: C(5, 2) × C(4, 1) = 10 × 4 = 40. La probabilidad es 40 / 84 = 10/21.|IA_APROBADA
Aritmética|DIFICIL|Al extraer la raíz cuadrada entera a un número entero N, se obtuvo un residuo por defecto de 12 y un residuo por exceso de 21. Halle la suma de las cifras de N.|14|16|18|12|15|1|Por propiedad de la radicación entera, r_defecto + r_exceso = 2k + 1, donde k es la raíz por defecto. Entonces 12 + 21 = 2k + 1 => 33 = 2k + 1 => k = 16. Luego N = k² + r_defecto = 16² + 12 = 256 + 12 = 268. La suma de las cifras de N es 2 + 6 + 8 = 16.|IA_APROBADA
Aritmética|DIFICIL|Calcule el valor de la suma infinita finita S = 1/(1x2) + 1/(2x3) + 1/(3x4) + ... + 1/(19x20).|17/20|18/20|19/20|20/21|1/20|2|Aplicando descomposición telescópica: 1/(n(n+1)) = 1/n - 1/(n+1). La suma queda (1 - 1/2) + (1/2 - 1/3) + ... + (1/19 - 1/20) = 1 - 1/20 = 19/20.|IA_APROBADA
Aritmética|DIFICIL|Una urna contiene 5 bolillas rojas, 4 azules y 3 verdes. Se extraen sucesivamente 2 bolillas al azar sin reposición. Calcule la probabilidad de que la primera bolilla sea roja y la segunda sea verde.|5/44|1/4|3/22|5/22|15/44|0|La probabilidad de que la primera sea roja es 5/12. Quedan 11 bolillas. La probabilidad condicional de que la segunda sea verde es 3/11. Por el principio de multiplicación: P = (5/12) × (3/11) = 15/132 = 5/44.|IA_APROBADA
Aritmética|DIFICIL|Calcule el residuo que se obtiene al dividir 3^2024 entre 7.|1|2|3|4|5|1|Analizando restos potenciales de 3 mod 7: 3^1 ≡ 3, 3^2 ≡ 2, 3^3 ≡ 6 ≡ -1, 3^6 ≡ 1 (mod 7). Luego 2024 dividida entre 6 deja residuo 2 (2024 = 6 × 337 + 2). Por ello, 3^2024 ≡ 3^2 ≡ 2 (mod 7).|IA_APROBADA
