# Temas del examen. Una Pregunta pertenece a un Tema, nunca a una universidad:
# Aritmetica, Algebra, Geometria, Trigonometria, Fisica y Quimica se comparten entre UNI y UNMSM.
# area_conocimiento: MATEMATICA, FISICA_QUIMICA, BIOLOGIA, APTITUD, HUMANIDADES o ACTITUDINAL.
# temario: resumen de los subtemas oficiales, lo usa el generador de preguntas. Puede quedar vacio.
# Fuentes del temario: Prospecto UNMSM 2026-I y temario oficial UNI 2024.
# En UNI, Humanidades es un solo tema porque la fuente no separa sus 36 preguntas por subarea.
nombre|area_conocimiento|temario
Habilidad Verbal|APTITUD|UNMSM: estructura de la subsección: 1 texto dialéctico (4 preguntas), 1 texto con gráfico (3 preguntas), 1 texto en inglés nivel básico (3 preguntas). Tipos de pregunta: tema central e idea principal (cohesión, coherencia); síntesis (seleccionar/generalizar/abstraer); relaciones semántico-textuales (sinonimia y antonimia contextual, denotación/connotación); compatibilidad e incompatibilidad (literal e inferencial); inferencia (holística, de datos, léxica, causal, de intención, prospectiva); extrapolación (cognitiva y referencial).
Habilidad Lógico-Matemática|APTITUD|UNMSM: [Problemas de cantidad] máximos y mínimos, pesadas y balanzas, arreglos numéricos, seccionamientos y cortes, elementos recreativos (dados, cerillos, dominó), calendarios, traslados. [Problemas de regularidad, equivalencia y cambio] frecuencia de sucesos, inductivo numérico/verbal/geométrico, cronometría, interpretación de información (simbolización y ecuaciones). [Problemas de forma, movimiento y localización] rotación/traslación de figuras, rutas/trayectorias/puntos cardinales, trazo y conteo de figuras, simetría y reflexiones, visualización espacial, perímetros y áreas, ruedas/poleas/engranajes, congruencia y semejanza. [Problemas de gestión de datos e incertidumbre] tablas y gráficos estadísticos, situaciones deportivas, suficiencia de datos, certeza, deducción simple/compuesta, ordenamiento de información, verdades y mentiras, lazos familiares, diagramas de flujo.
Lenguaje|HUMANIDADES|UNMSM: comunicación, lenguaje y lengua (variedades del español, realidad lingüística del Perú); fonología (fonema, sílaba, diptongo/triptongo/hiato); acentuación escrita; morfosintaxis (morfología, frase nominal/verbal, sustantivo, adjetivo, verbo, adverbio/preposición/conjunción, oración simple/compuesta); discurso escrito (puntuación, mayúsculas/minúsculas); semántica (lexicología, signo lingüístico, relaciones semánticas).
Literatura|HUMANIDADES|UNMSM: conceptos básicos (géneros y figuras literarias); literatura antigua (épica y tragedia griega); literatura moderna (Shakespeare, Goethe, Dostoievski); literatura contemporánea (Kafka); literatura española (Poema del Mio Cid, Cervantes, Calderón de la Barca, Bécquer); literatura hispanoamericana (Rubén Darío, Neruda, Borges, Carpentier, García Márquez); literatura de la Conquista al Romanticismo (Garcilaso de la Vega, Segura, Ricardo Palma); literatura peruana del s. XX (Clorinda Matto de Turner, Eguren, Valdelomar, César Vallejo, Ciro Alegría, Arguedas); literatura peruana contemporánea, Generación del 50 (Blanca Varela, Ribeyro, Vargas Llosa).
Psicología|HUMANIDADES|UNMSM: introducción a la psicología (orígenes, enfoques); bases biológicas del comportamiento (socialización, familia, actitudes y valores); procesos cognitivos y aprendizaje (sensación, percepción, memoria, teorías del aprendizaje); desarrollo humano, identidad y vivencia saludable (ciclo vital, identidad, sexualidad, proyecto de vida); afectividad humana y motivación.
Educación Cívica|HUMANIDADES|UNMSM: derechos humanos (declaración universal, Constitución del Perú); participación ciudadana (mecanismos de participación y control); problemas de convivencia (discriminación, corrupción, terrorismo); identidad e interculturalidad; estructura y funciones del Estado (poderes, órganos constitucionales autónomos, sistema electoral).
Historia del Perú|HUMANIDADES|UNMSM: poblamiento de América y culturas andinas tempranas; del Periodo formativo a los Estados regionales; el Tawantinsuyo; establecimiento del orden virreinal; de las reformas borbónicas a las guerras de independencia; el siglo XIX (guano, guerra con Chile); de la República Aristocrática al Reformismo moderado (Leguía, Aprismo); el Perú en las últimas décadas (Velasco, fujimorato, CVR).
Historia Universal|HUMANIDADES|UNMSM: aspectos teóricos de la historia; proceso de hominización y primeras civilizaciones (Mesopotamia, Egipto, India, China); mundo clásico (Grecia, Roma); Edad Media en Occidente (imperios carolingio y bizantino, Islam); Modernidad (Renacimiento, Reforma, descubrimientos geográficos); revoluciones burguesas (Ilustración, EE.UU., Francia); siglo XIX (liberalismo, nacionalismo, socialismo); primera mitad del siglo XX (guerras mundiales, revoluciones rusa y mexicana); de la Guerra Fría al mundo contemporáneo (descolonización, globalización).
Geografía|HUMANIDADES|UNMSM: geografía y espacio geográfico; factores de transformación del relieve (tectónica de placas); principales relieves del Perú (costa, andina, selva); clima (fenómenos El Niño/La Niña); cambio climático; hidrografía; gestión de riesgo de desastres; biodiversidad y ecosistemas; recursos naturales y desarrollo sostenible; actividades económicas; población humana del Perú; organización política y administrativa del territorio; continentes (América, Asia, África, Europa, Oceanía).
Economía|HUMANIDADES|UNMSM: temas básicos y principios económicos; mercado de bienes (oferta, demanda, tipos de mercado); mercado de factores; sector financiero y política monetaria (BCR); sector público y política fiscal; consumo, ahorro e inversión; sector externo (balanza de pagos, comercio internacional); ciclo y crecimiento económico; economía informal y distribución de ingresos; emprendimiento.
Filosofía|HUMANIDADES|UNMSM: nociones preliminares (disciplinas filosóficas, filosofía latinoamericana); ética, sociedad y democracia; ciencia y conocimiento (método científico); teoría de la argumentación (falacias, paradojas); apreciación estética.
Biología|BIOLOGIA|UNMSM: biología general (niveles de organización, composición química); célula (procariota/eucariota); tejidos; nutrición (fotosíntesis, respiración); sistema digestivo; circulación y transporte; sistema excretor e inmunológico; coordinación química (endocrino) y nerviosa; reproducción; genética y continuidad de las especies (leyes de Mendel); evolución y biodiversidad; reino animal; reino plantae; salud e higiene; ecología y recursos naturales.
